	ind	spp	PC1 (23.9%)	PC2 (13.7%)
1	IP_RVcoll14H960	I. podalirius	0.253274	-0.0411099
2	IP_RVcoll14F754	I. podalirius	0.325586	-0.041854
3	IP_502	I. podalirius	0.262967	-0.0388807
4	IP_1330	hybrid zone	0.203689	-0.0548164
5	IP_RVcoll14E561	I. podalirius	0.320517	-0.0410849
6	IF_RVcoll17B439	I. feisthamelii	-0.23150199999999999	-0.0943772
7	IF_RVcoll14B411	I. feisthamelii	-0.231717	-0.0940914
8	IF_1306	hybrid zone	-0.202486	-0.10068300000000001
9	IF_1322	hybrid zone	-0.00997564	-0.10106
10	IF_1325	hybrid zone	0.159977	-0.06605230000000001
11	IP_RVcoll12R048	I. podalirius	0.28074499999999997	-0.0338856
12	IF_142	I. feisthamelii	-0.22732600000000003	-0.0929621
13	IF_234.10X	I. feisthamelii	-0.22210700000000003	-0.0947333
14	IF_1308	hybrid zone	-0.196165	-0.101564
15	IF_1303	hybrid zone	-0.204034	-0.101729
16	IF_RVcoll11F366	I. feisthamelii	-0.0807955	0.653722
17	IF_165	I. feisthamelii	-0.225956	-0.09408580000000001
18	IF_236	I. feisthamelii	-0.22734899999999997	-0.0925211
19	IP_504.10X	I. podalirius	0.261196	-0.0395365
20	IF_RVcoll12N508	I. feisthamelii	-0.0711552	0.679797
