	idx	Ne_A	Ne_A_B	Ne_B	T	likelihood	nlopt_exit_code	nlopt_time
0	0	522131.14679679996	837108.2315526248	468963.55305487505	2509105.9169609863	-233296664.5769523	NLOPT_XTOL_REACHED	00h:26m:08.102s
1	1	522189.5679550056	833259.9298255802	469009.20915491594	2516423.7472876296	-233265248.76737848	NLOPT_XTOL_REACHED	00h:26m:08.102s
2	2	522540.29314506287	838961.6807571328	469429.673847366	2504560.0556286317	-233372356.84153748	NLOPT_XTOL_REACHED	00h:26m:08.102s
3	3	522022.0404740746	837445.0227572339	467701.50643576257	2508121.198201063	-233212871.76307043	NLOPT_XTOL_REACHED	00h:26m:08.102s
4	4	522111.2438755417	837201.9252886585	468562.300465541	2505896.9022508487	-233276553.79105356	NLOPT_XTOL_REACHED	00h:26m:08.102s
5	5	522285.1203770121	835553.5470907816	469430.2011326965	2511809.5667530443	-233306795.31168884	NLOPT_XTOL_REACHED	00h:26m:08.102s
6	6	522218.9522175946	834678.615419743	469476.41296215955	2511846.7957971147	-233301616.3664108	NLOPT_XTOL_REACHED	00h:26m:08.102s
7	7	521005.1463438498	836998.8335698984	469043.4381442503	2509311.98965571	-233235089.13891777	NLOPT_XTOL_REACHED	00h:26m:08.102s
8	8	522168.1379164043	837968.9990486889	469040.1518586679	2505619.26169739	-233301997.20781603	NLOPT_XTOL_REACHED	00h:26m:08.102s
9	9	523087.1731671018	838013.4916903449	468873.44948839094	2508270.282885994	-233372478.26529905	NLOPT_XTOL_REACHED	00h:26m:08.102s
10	10	522740.6359514004	836244.6035255012	469042.8373201443	2511456.0538841137	-233342686.7208996	NLOPT_XTOL_REACHED	00h:26m:08.102s
11	11	523411.9169054743	835240.8448825721	470148.81457304244	2507975.63072764	-233419093.58917725	NLOPT_XTOL_REACHED	00h:26m:08.102s
12	12	523094.865052502	840454.9870641348	468323.62080333533	2504927.91352347	-233366105.30631557	NLOPT_XTOL_REACHED	00h:26m:08.102s
13	13	522820.7972739776	832546.2271859794	470396.4395010052	2512694.364077854	-233350480.29397973	NLOPT_XTOL_REACHED	00h:26m:08.102s
14	14	522114.84795892244	835876.992004079	469033.0937896304	2509747.218064997	-233277693.0717736	NLOPT_XTOL_REACHED	00h:26m:08.102s
15	15	522168.8987993549	835601.5893338809	469558.76476652775	2513889.4898799984	-233335668.32813132	NLOPT_XTOL_REACHED	00h:26m:08.102s
16	16	522769.08585896617	837938.4096566142	470194.4536447389	2508901.676690034	-233469911.5223468	NLOPT_XTOL_REACHED	00h:26m:08.102s
17	17	523045.60675760143	842771.6385776951	468090.7235590591	2504121.5420033936	-233393717.69428042	NLOPT_XTOL_REACHED	00h:26m:08.102s
18	18	522558.933721383	836954.1389237263	469530.02665981994	2507944.292427358	-233339738.37186489	NLOPT_XTOL_REACHED	00h:26m:08.102s
19	19	522340.7973409771	835592.3976393477	468877.31115335115	2507821.5707606124	-233271131.7854297	NLOPT_XTOL_REACHED	00h:26m:08.102s
20	20	523727.976855743	835624.0498150076	469916.5934612693	2512630.3880250407	-233453634.91385657	NLOPT_XTOL_REACHED	00h:26m:08.102s
21	21	523675.74720388936	837771.8981820694	468607.43348029273	2508427.946862876	-233382354.4590473	NLOPT_XTOL_REACHED	00h:26m:08.102s
22	22	522657.412694473	838475.1602215378	469282.1091410307	2505640.7598804804	-233365990.60969144	NLOPT_XTOL_REACHED	00h:26m:08.102s
23	23	522265.1731173081	838468.2962177179	468951.2063703109	2509817.230028984	-233329530.84618348	NLOPT_XTOL_REACHED	00h:26m:08.102s
24	24	523483.7401580525	836238.1065767348	469330.2378743849	2511786.587892768	-233401901.34286124	NLOPT_XTOL_REACHED	00h:26m:08.102s
25	25	524390.3303283184	836021.5388203847	469417.68542626896	2511565.7366404985	-233461588.01785865	NLOPT_XTOL_REACHED	00h:26m:08.102s
26	26	522842.8015723467	836668.5547872144	469544.2088082072	2509141.05017308	-233399610.59922865	NLOPT_XTOL_REACHED	00h:26m:08.102s
27	27	523218.76055754104	837181.2243049098	469100.8280928009	2509952.1112842667	-233377798.2018065	NLOPT_XTOL_REACHED	00h:26m:08.102s
28	28	521920.80853633716	837991.9437574552	468256.2315481138	2508438.5471226783	-233248173.3466017	NLOPT_XTOL_REACHED	00h:26m:08.102s
29	29	523266.3514041992	835580.0409714291	468716.0875933282	2510526.686507976	-233342827.4883299	NLOPT_XTOL_REACHED	00h:26m:08.102s
30	30	522512.9578850372	838912.2775854042	468712.2376150278	2504685.0810027383	-233315511.2403288	NLOPT_XTOL_REACHED	00h:26m:08.102s
31	31	521685.041399431	836370.863125325	469131.50293780357	2511388.00694984	-233272778.90355247	NLOPT_XTOL_REACHED	00h:26m:08.102s
32	32	523125.6193206507	839530.2551136706	468783.7573346908	2508774.479971784	-233404172.79992768	NLOPT_XTOL_REACHED	00h:26m:08.102s
33	33	522302.2843384722	839377.9452780251	469558.07065898046	2508582.1935636764	-233423585.0650265	NLOPT_XTOL_REACHED	00h:26m:08.102s
34	34	522648.810045215	836645.8764592594	470515.8244748917	2507466.347184516	-233437390.51396683	NLOPT_XTOL_REACHED	00h:26m:08.102s
35	35	522690.7695948101	835649.3163838462	469149.4803549192	2511701.0453094547	-233328149.6845468	NLOPT_XTOL_REACHED	00h:26m:08.102s
36	36	522329.92539545294	835561.1186659154	470173.80360284174	2510954.255036128	-233382361.90709543	NLOPT_XTOL_REACHED	00h:26m:08.102s
37	37	522622.5718448611	836909.929552644	469362.34472216346	2509787.945013824	-233378970.19484645	NLOPT_XTOL_REACHED	00h:26m:08.102s
