	idx	Ne_A	Ne_A_B	Ne_B	T	likelihood	me	nlopt_exit_code	nlopt_time
0	0	533143.9783143749	709866.7953971162	448407.6685261794	2809307.021032269	-233183795.9537573	1.498691835652491e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
1	1	533040.7424597123	706349.0061247917	448523.5060218823	2815662.5625511874	-233153096.95881078	1.485827685036306e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
2	2	533627.4526475968	712256.4386263794	448812.23395297007	2803937.799864132	-233260201.9880372	1.506531330677863e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
3	3	533093.1198791326	709607.0332361453	446874.13891765935	2810251.1691139727	-233098517.12988508	1.5154277179218672e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
4	4	533162.698486394	709771.3350090482	447961.6260310098	2806635.950859542	-233162781.36106288	1.5050104717557178e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
5	5	533373.6761296529	706790.0569003003	448646.21057889954	2815472.6463957713	-233192613.6125332	1.511046133232321e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
6	6	533161.2662299268	707565.5912577312	448938.7461193835	2811682.8616802525	-233189264.90191203	1.4942025908220758e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
7	7	531937.5279735222	710524.1677151619	448595.76764427655	2807775.9193246663	-233123528.53457728	1.490894078465239e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
8	8	533126.6011086274	712440.9945172725	448580.3229083	2802347.388772577	-233191423.36244452	1.4948966798422206e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
9	9	533999.1169877886	713176.7064058363	448573.2104580065	2803088.7285351623	-233262414.15057707	1.4807188559566125e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
10	10	533661.0128127809	709758.1910578308	448511.8861123956	2810083.102941337	-233230325.40343225	1.4927737998239385e-08	NLOPT_XTOL_REACHED	39h:47m:55.009s
