 FID            IID  PHE     NSEG       KB    KBAVG
  IP   RVcoll14H960   -9       87    24348  279.862 
  IP   RVcoll14F754   -9        6  858.915  143.153 
  IP            502   -9       47  6399.99   136.17 
  IP           1330   -9       39  5269.56  135.117 
  IP   RVcoll14E561   -9       48  18123.8  377.579 
  IF   RVcoll17B439   -9       52  8756.53  168.395 
  IF   RVcoll14B411   -9       47  8826.54  187.799 
  IF           1306   -9       46  7492.93   162.89 
  IF           1322   -9       54  9519.72  176.291 
  IF           1325   -9       78  19295.4  247.376 
  IP   RVcoll12R048   -9      493  78358.1  158.941 
  IF            142   -9       48   7680.8  160.017 
  IF        234.10X   -9        1  134.693  134.693 
  IF           1308   -9        3  687.532  229.177 
  IF           1303   -9       49  8546.07   174.41 
  IF   RVcoll11F366   -9        9  1243.23  138.137 
  IF            165   -9        2  232.748  116.374 
  IF            236   -9        3  1135.29   378.43 
  IP        504.10X   -9       53  6848.57  129.218 
  IF   RVcoll12N508   -9       66  11062.3  167.611 
