	sequence	start	end	H_fei	H_pod	d_xy	f_st	me	deltaB0	deltaB0_bootstrap	outlier	bootstrap_outlier	rediem_var	distance_from_telomere_rescaled	exon_proportion	te_proportion
0	chr2	166	86268	0.00935	0.008740000000000001	0.03288	0.56853	1.0204081632653058e-08	-31.61485239843023	-257.0657357047603	False	False	0.19653725026699886	0.002146230370249196	0.010034610113586211	0.2179043460082228
1	chr2	14255	111516	0.009470000000000001	0.00892	0.0334	0.56833	1.0204081632653058e-08	2.63306473576813	-172.2939263201988	True	False	0.196853911000356	0.0031747667519722647	0.008883313969628114	0.2685557417669981
2	chr2	31278	137195	0.0099	0.00806	0.029960000000000004	0.53885	5.10204081632653e-08	-143.7344497245067	-279.1320692333102	False	False	0.1952838612587645	0.004253218053214752	0.00815733074010782	0.33574402598260905
3	chr2	48084	160315	0.01034	0.00757	0.0309	0.55067	3.0612244897959183e-08	-151.24287940653448	-273.6909453400149	False	False	0.1897146061354012	0.005762671900062549	0.0	0.35736115689960885
4	chr2	65304	181727	0.00965	0.00787	0.029889999999999996	0.54664	4.0816326530612233e-08	-121.79772265830252	-262.8964307689894	False	False	0.18594336912901308	0.0067700861554856415	0.0	0.37903163464263934
5	chr2	86200	201867	0.009040000000000001	0.00835	0.03009	0.55161	4.0816326530612233e-08	-196.07588988491625	-320.013609911839	False	False	0.18174076146988866	0.008434287369752215	0.0	0.36092403191921635
6	chr2	111452	216811	0.00796	0.0083	0.02949	0.5678300000000001	4.0816326530612233e-08	-185.90311291482067	-312.6563592116145	False	False	0.1782429174339199	0.009410685450240078	0.0	0.3294450402908152
7	chr2	137130	234929	0.0071200000000000005	0.008190000000000001	0.028630000000000003	0.57814	5.10204081632653e-08	-310.22192801363417	-518.9576581243746	False	False	0.17776497053325382	0.010582741121717198	0.0	0.28137302017403043
8	chr2	160246	256888	0.00748	0.00772	0.028210000000000002	0.57555	9.183673469387754e-08	-362.2919819131348	-484.4289147172676	False	False	0.171238051216946	0.011634956518713399	0.0	0.3044535502162621
9	chr2	181661	277641	0.00826	0.00805	0.02822	0.5514600000000001	7.142857142857142e-08	-394.7648606888688	-513.421471164489	False	False	0.17026966340635818	0.012621248647836513	0.0	0.30726192956866016
10	chr2	201799	298686	0.00925	0.00821	0.02706	0.5121899999999999	1.020408163265306e-07	-391.55871517142805	-506.3200287420332	False	False	0.17601534866437385	0.013817872687273079	0.0	0.3186185969221877
11	chr2	216746	315554	0.01116	0.00864	0.02818	0.47993	1.020408163265306e-07	-524.6855175037635	-669.1039975325257	False	False	0.18168894659181026	0.014916056501243176	0.0	0.3410756214071735
