	sequence	start	end	Ne_A	Ne_A_B	Ne_B	T	me	lnCl
0	iphiclides_podalirius.IP_504.chromosome_2	166	86268	610000.0	1800000.0	590000.0	2181320.0	1.0204081632653058e-08	-93236.71247431278
1	iphiclides_podalirius.IP_504.chromosome_2	14255	111516	610000.0	1900000.0	590000.0	2181320.0	1.0204081632653058e-08	-93984.46227972684
2	iphiclides_podalirius.IP_504.chromosome_2	31278	137195	710000.0	1600000.0	490000.0	2181320.0	5.10204081632653e-08	-92900.67281419918
3	iphiclides_podalirius.IP_504.chromosome_2	48084	160315	710000.0	1600000.0	490000.0	2181320.0	3.0612244897959183e-08	-92917.77685048648
4	iphiclides_podalirius.IP_504.chromosome_2	65304	181727	710000.0	1500000.0	490000.0	2181320.0	4.0816326530612233e-08	-92824.00937703488
5	iphiclides_podalirius.IP_504.chromosome_2	86200	201867	610000.0	1600000.0	490000.0	2181320.0	4.0816326530612233e-08	-92555.68903853829
6	iphiclides_podalirius.IP_504.chromosome_2	111452	216811	610000.0	1500000.0	490000.0	2181320.0	4.0816326530612233e-08	-90306.5052839198
7	iphiclides_podalirius.IP_504.chromosome_2	137130	234929	510000.0	1500000.0	490000.0	2181320.0	5.10204081632653e-08	-88448.64626732275
8	iphiclides_podalirius.IP_504.chromosome_2	160246	256888	510000.0	1600000.0	390000.0	2181320.0	9.183673469387754e-08	-87570.94463622251
9	iphiclides_podalirius.IP_504.chromosome_2	181661	277641	610000.0	1600000.0	490000.0	2181320.0	7.142857142857142e-08	-88995.54167554564
10	iphiclides_podalirius.IP_504.chromosome_2	201799	298686	710000.0	1500000.0	490000.0	2181320.0	1.020408163265306e-07	-89615.65585250358
11	iphiclides_podalirius.IP_504.chromosome_2	216746	315554	710000.0	1700000.0	490000.0	2181320.0	1.020408163265306e-07	-92851.01160039996
12	iphiclides_podalirius.IP_504.chromosome_2	234853	338945	710000.0	1900000.0	490000.0	2181320.0	1.020408163265306e-07	-95358.1899024843
13	iphiclides_podalirius.IP_504.chromosome_2	256821	360939	810000.0	1700000.0	490000.0	2181320.0	1.4285714285714285e-07	-95663.00776551497
14	iphiclides_podalirius.IP_504.chromosome_2	277574	382589	710000.0	1700000.0	490000.0	2181320.0	1.020408163265306e-07	-93606.60014128599
15	iphiclides_podalirius.IP_504.chromosome_2	298601	416486	710000.0	1800000.0	490000.0	2181320.0	6.122448979591838e-08	-93079.72363067241
16	iphiclides_podalirius.IP_504.chromosome_2	315488	442715	610000.0	1500000.0	490000.0	2181320.0	3.0612244897959183e-08	-89496.34532604102
17	iphiclides_podalirius.IP_504.chromosome_2	338876	459006	610000.0	1400000.0	490000.0	2181320.0	2.0408163265306117e-08	-88120.73855807574
18	iphiclides_podalirius.IP_504.chromosome_2	360868	483252	610000.0	1600000.0	390000.0	2181320.0	1.0204081632653058e-08	-87276.86028744902
19	iphiclides_podalirius.IP_504.chromosome_2	382496	508977	610000.0	1800000.0	390000.0	2181320.0	1.0204081632653058e-08	-88246.04443514631
20	iphiclides_podalirius.IP_504.chromosome_2	416403	532369	710000.0	1700000.0	490000.0	2181320.0	0.0	-89524.04474493857
21	iphiclides_podalirius.IP_504.chromosome_2	442650	572501	610000.0	1800000.0	490000.0	2181320.0	0.0	-89795.85959674037
22	iphiclides_podalirius.IP_504.chromosome_2	458938	622468	610000.0	1700000.0	490000.0	2181320.0	1.0204081632653058e-08	-90236.62840033004
23	iphiclides_podalirius.IP_504.chromosome_2	483174	673948	710000.0	1500000.0	490000.0	2181320.0	1.0204081632653058e-08	-90890.12920500628
24	iphiclides_podalirius.IP_504.chromosome_2	508912	699438	810000.0	1200000.0	490000.0	2181320.0	3.0612244897959183e-08	-90877.19660867352
25	iphiclides_podalirius.IP_504.chromosome_2	532303	734640	710000.0	1200000.0	490000.0	2181320.0	2.0408163265306117e-08	-88233.5249081783
26	iphiclides_podalirius.IP_504.chromosome_2	572437	758960	810000.0	1300000.0	390000.0	2181320.0	4.0816326530612233e-08	-87517.9471264875
27	iphiclides_podalirius.IP_504.chromosome_2	622385	813680	710000.0	1300000.0	390000.0	2181320.0	0.0	-85982.06285168981
28	iphiclides_podalirius.IP_504.chromosome_2	673882	829623	510000.0	1600000.0	390000.0	2181320.0	0.0	-85047.60638947379
29	iphiclides_podalirius.IP_504.chromosome_2	699369	859237	510000.0	1600000.0	390000.0	2181320.0	0.0	-83769.11082520682
30	iphiclides_podalirius.IP_504.chromosome_2	734570	906134	610000.0	1700000.0	390000.0	2181320.0	0.0	-85474.03931847232
31	iphiclides_podalirius.IP_504.chromosome_2	758885	931371	510000.0	1700000.0	390000.0	2181320.0	0.0	-85730.48840984714
32	iphiclides_podalirius.IP_504.chromosome_2	813614	945185	610000.0	1600000.0	490000.0	2181320.0	1.0204081632653058e-08	-88615.88111746158
33	iphiclides_podalirius.IP_504.chromosome_2	829559	998784	610000.0	1600000.0	490000.0	2181320.0	3.0612244897959183e-08	-89954.63771137304
34	iphiclides_podalirius.IP_504.chromosome_2	859169	1068815	610000.0	1700000.0	490000.0	2181320.0	2.0408163265306117e-08	-89544.78054715574
35	iphiclides_podalirius.IP_504.chromosome_2	906069	1136371	610000.0	1500000.0	490000.0	2181320.0	3.0612244897959183e-08	-88270.84484189564
36	iphiclides_podalirius.IP_504.chromosome_2	931301	1182111	610000.0	1400000.0	490000.0	2181320.0	3.0612244897959183e-08	-87671.61935463928
37	iphiclides_podalirius.IP_504.chromosome_2	945121	1251183	610000.0	1300000.0	390000.0	2181320.0	3.0612244897959183e-08	-85030.96815294411
38	iphiclides_podalirius.IP_504.chromosome_2	998717	1267149	610000.0	1100000.0	390000.0	2181320.0	0.0	-81397.69940656361
